<BR><BR>DEBUG 2023-04-21 11:13:03,254 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR> INFO 2023-04-21 11:36:14,342 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-21 11:36:14,343 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR> INFO 2023-04-21 11:36:14,344 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:14,344 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:36:40,099 megasoft.ActionServlet - Iniciando el Logger desde el Action Servlet
<BR><BR> INFO 2023-04-21 11:39:10,860 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutting down.
<BR><BR> INFO 2023-04-21 11:39:10,862 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED paused.
<BR><BR>DEBUG 2023-04-21 11:39:10,863 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR> INFO 2023-04-21 11:39:10,863 org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED shutdown complete.
<BR><BR>DEBUG 2023-04-21 11:39:10,863 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:39:10,863 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:39:10,864 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:39:10,864 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
<BR><BR>DEBUG 2023-04-21 11:39:10,864 org.quartz.simpl.SimpleThreadPool - WorkerThread is shutting down
